2024-08-13 15:17:32,859 - extract_carbon - INFO - DataFrame of Carbon Forecast Data:
2024-08-13 15:17:32,863 - extract_carbon - DEBUG -                  from                 to  forecast carbon level
0   2024-08-12T23:00Z  2024-08-12T23:30Z        85          low
1   2024-08-12T23:30Z  2024-08-13T00:00Z        83          low
2   2024-08-13T00:00Z  2024-08-13T00:30Z        73          low
3   2024-08-13T00:30Z  2024-08-13T01:00Z        68          low
4   2024-08-13T01:00Z  2024-08-13T01:30Z        72          low
5   2024-08-13T01:30Z  2024-08-13T02:00Z        79          low
6   2024-08-13T02:00Z  2024-08-13T02:30Z        86          low
7   2024-08-13T02:30Z  2024-08-13T03:00Z        79          low
8   2024-08-13T03:00Z  2024-08-13T03:30Z        75          low
9   2024-08-13T03:30Z  2024-08-13T04:00Z        70          low
10  2024-08-13T04:00Z  2024-08-13T04:30Z        70          low
11  2024-08-13T04:30Z  2024-08-13T05:00Z        77          low
12  2024-08-13T05:00Z  2024-08-13T05:30Z        73          low
13  2024-08-13T05:30Z  2024-08-13T06:00Z        79          low
14  2024-08-13T06:00Z  2024-08-13T06:30Z        76          low
15  2024-08-13T06:30Z  2024-08-13T07:00Z        80          low
16  2024-08-13T07:00Z  2024-08-13T07:30Z        80          low
17  2024-08-13T07:30Z  2024-08-13T08:00Z        74          low
18  2024-08-13T08:00Z  2024-08-13T08:30Z        67          low
19  2024-08-13T08:30Z  2024-08-13T09:00Z        67          low
20  2024-08-13T09:00Z  2024-08-13T09:30Z        63          low
21  2024-08-13T09:30Z  2024-08-13T10:00Z        55          low
22  2024-08-13T10:00Z  2024-08-13T10:30Z        51          low
23  2024-08-13T10:30Z  2024-08-13T11:00Z        42          low
24  2024-08-13T11:00Z  2024-08-13T11:30Z        41          low
25  2024-08-13T11:30Z  2024-08-13T12:00Z        41          low
26  2024-08-13T12:00Z  2024-08-13T12:30Z        40          low
27  2024-08-13T12:30Z  2024-08-13T13:00Z        42          low
28  2024-08-13T13:00Z  2024-08-13T13:30Z        43          low
29  2024-08-13T13:30Z  2024-08-13T14:00Z        45          low
30  2024-08-13T14:00Z  2024-08-13T14:30Z        48          low
31  2024-08-13T14:30Z  2024-08-13T15:00Z        51          low
32  2024-08-13T15:00Z  2024-08-13T15:30Z        57          low
33  2024-08-13T15:30Z  2024-08-13T16:00Z        62          low
34  2024-08-13T16:00Z  2024-08-13T16:30Z        64          low
35  2024-08-13T16:30Z  2024-08-13T17:00Z        64          low
36  2024-08-13T17:00Z  2024-08-13T17:30Z        66          low
37  2024-08-13T17:30Z  2024-08-13T18:00Z        70          low
38  2024-08-13T18:00Z  2024-08-13T18:30Z        74          low
39  2024-08-13T18:30Z  2024-08-13T19:00Z        74          low
40  2024-08-13T19:00Z  2024-08-13T19:30Z        77          low
41  2024-08-13T19:30Z  2024-08-13T20:00Z        80          low
42  2024-08-13T20:00Z  2024-08-13T20:30Z        84          low
43  2024-08-13T20:30Z  2024-08-13T21:00Z        84          low
44  2024-08-13T21:00Z  2024-08-13T21:30Z        84          low
45  2024-08-13T21:30Z  2024-08-13T22:00Z        84          low
46  2024-08-13T22:00Z  2024-08-13T22:30Z        85          low
47  2024-08-13T22:30Z  2024-08-13T23:00Z        87          low
2024-08-13 15:17:55,018 - extract_carbon - INFO - DataFrame of Carbon Forecast Data:
2024-08-13 15:17:55,021 - extract_carbon - DEBUG -                  from                 to  forecast carbon level
0   2024-08-12T23:00Z  2024-08-12T23:30Z        85          low
1   2024-08-12T23:30Z  2024-08-13T00:00Z        83          low
2   2024-08-13T00:00Z  2024-08-13T00:30Z        73          low
3   2024-08-13T00:30Z  2024-08-13T01:00Z        68          low
4   2024-08-13T01:00Z  2024-08-13T01:30Z        72          low
5   2024-08-13T01:30Z  2024-08-13T02:00Z        79          low
6   2024-08-13T02:00Z  2024-08-13T02:30Z        86          low
7   2024-08-13T02:30Z  2024-08-13T03:00Z        79          low
8   2024-08-13T03:00Z  2024-08-13T03:30Z        75          low
9   2024-08-13T03:30Z  2024-08-13T04:00Z        70          low
10  2024-08-13T04:00Z  2024-08-13T04:30Z        70          low
11  2024-08-13T04:30Z  2024-08-13T05:00Z        77          low
12  2024-08-13T05:00Z  2024-08-13T05:30Z        73          low
13  2024-08-13T05:30Z  2024-08-13T06:00Z        79          low
14  2024-08-13T06:00Z  2024-08-13T06:30Z        76          low
15  2024-08-13T06:30Z  2024-08-13T07:00Z        80          low
16  2024-08-13T07:00Z  2024-08-13T07:30Z        80          low
