         25311 function calls (24953 primitive calls) in 0.186 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.185    0.185 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/pipeline/extract_demand.py:145(execute)
        1    0.000    0.000    0.166    0.166 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/pipeline/extract_demand.py:58(fetch_data)
        1    0.000    0.000    0.166    0.166 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:62(get)
        1    0.000    0.000    0.166    0.166 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:14(request)
        1    0.000    0.000    0.165    0.165 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000    0.164    0.164 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:673(send)
        1    0.000    0.000    0.164    0.164 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/requests/adapters.py:613(send)
        1    0.000    0.000    0.163    0.163 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:594(urlopen)
        1    0.000    0.000    0.163    0.163 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:379(_make_request)
        1    0.000    0.000    0.111    0.111 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1087(_validate_conn)
        1    0.000    0.000    0.111    0.111 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:613(connect)
        1    0.000    0.000    0.068    0.068 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:731(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.068    0.068 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:392(ssl_wrap_socket)
        1    0.000    0.000    0.068    0.068 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:493(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.068    0.068 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:449(wrap_socket)
        1    0.000    0.000    0.068    0.068 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:956(_create)
        1    0.000    0.000    0.068    0.068 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1313(do_handshake)
        1    0.068    0.068    0.068    0.068 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.052    0.052 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:438(getresponse)
        1    0.000    0.000    0.052    0.052 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1384(getresponse)
        1    0.000    0.000    0.052    0.052 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:324(begin)
        1    0.000    0.000    0.051    0.051 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:291(_read_status)
       16    0.000    0.000    0.051    0.003 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.051    0.051 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:694(readinto)
        1    0.000    0.000    0.051    0.051 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1237(recv_into)
        1    0.000    0.000    0.051    0.051 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1095(read)
        1    0.051    0.051    0.051    0.051 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.042    0.042 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:190(_new_conn)
        1    0.000    0.000    0.042    0.042 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
        1    0.041    0.041    0.041    0.041 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.011    0.006 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/util/_decorators.py:325(wrapper)
        2    0.000    0.000    0.011    0.006 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:1310(to_string)
        2    0.000    0.000    0.011    0.006 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:939(to_string)
        2    0.000    0.000    0.011    0.006 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:28(to_string)
        2    0.000    0.000    0.011    0.006 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:40(_get_string_representation)
        2    0.000    0.000    0.010    0.005 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:34(_get_strcols)
        2    0.000    0.000    0.010    0.005 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:472(get_strcols)
        2    0.000    0.000    0.010    0.005 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:704(_get_strcols_without_index)
        6    0.000    0.000    0.007    0.001 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:751(format_col)
        8    0.000    0.000    0.006    0.001 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1079(format_array)
        8    0.000    0.000    0.006    0.001 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1193(get_result)
        6    0.001    0.000    0.005    0.001 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1197(_format_strings)
        1    0.000    0.000    0.004    0.004 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/pipeline/extract_demand.py:95(process_data)
       13    0.000    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1660(_log)
      302    0.001    0.000    0.003    0.000 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1220(_format)
       13    0.000    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1686(handle)
       13    0.000    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1746(callHandlers)
       27    0.000    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1011(handle)
       27    0.000    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1148(emit)
      302    0.001    0.000    0.002    0.000 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:165(pprint_thing)
        1    0.000    0.000    0.002    0.002 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:673(to_datetime)
       16    0.000    0.000    0.002    0.000 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1726(_make_fixed_width)
       10    0.000    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1529(info)
       14    0.000    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1266(emit)
        1    0.000    0.000    0.002    0.002 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:314(_convert_listlike_datetimes)
       27    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1137(flush)
        7    0.000    0.000    0.001    0.000 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1176(__getitem__)
       27    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 /Users/mabonmackwilliams/Documents/GitHub/Coursework/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:694(__init__)
