         770729 function calls (761077 primitive calls) in 0.757 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.757    0.757 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/extract_generation.py:146(execute)
        3    0.000    0.000    0.336    0.112 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:594(urlopen)
        3    0.000    0.000    0.335    0.112 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:379(_make_request)
        1    0.000    0.000    0.222    0.222 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/common.py:69(save_data_to_s3)
        1    0.000    0.000    0.222    0.222 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:556(_api_call)
        1    0.000    0.000    0.222    0.222 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:937(_make_api_call)
        1    0.000    0.000    0.219    0.219 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:1021(_make_request)
        1    0.000    0.000    0.219    0.219 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:113(make_request)
        1    0.000    0.000    0.219    0.219 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:192(_send_request)
        2    0.000    0.000    0.215    0.108 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:233(_get_response)
        2    0.000    0.000    0.215    0.107 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:261(_do_get_response)
        2    0.000    0.000    0.212    0.106 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:374(_send)
        2    0.000    0.000    0.212    0.106 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/httpsession.py:447(send)
        3    0.000    0.000    0.171    0.057 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1087(_validate_conn)
        3    0.000    0.000    0.171    0.057 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:613(connect)
        2    0.000    0.000    0.137    0.069 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/util/_decorators.py:325(wrapper)
        2    0.000    0.000    0.137    0.069 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:1310(to_string)
        2    0.000    0.000    0.137    0.068 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:939(to_string)
        2    0.000    0.000    0.136    0.068 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:28(to_string)
        2    0.000    0.000    0.136    0.068 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:40(_get_string_representation)
        1    0.000    0.000    0.132    0.132 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/extract_generation.py:60(fetch_data)
        1    0.000    0.000    0.129    0.129 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:62(get)
        1    0.000    0.000    0.129    0.129 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:14(request)
        1    0.000    0.000    0.129    0.129 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000    0.126    0.126 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:673(send)
