         50923 function calls (48610 primitive calls) in 0.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.308    0.308 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/extract_piechart.py:125(execute)
        3    0.000    0.000    0.276    0.092 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:594(urlopen)
        3    0.000    0.000    0.276    0.092 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:379(_make_request)
        1    0.000    0.000    0.160    0.160 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/extract_piechart.py:45(fetch_data)
        1    0.000    0.000    0.160    0.160 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:62(get)
        1    0.000    0.000    0.160    0.160 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:14(request)
        1    0.000    0.000    0.160    0.160 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000    0.159    0.159 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:673(send)
        1    0.000    0.000    0.158    0.158 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/requests/adapters.py:613(send)
        1    0.000    0.000    0.126    0.126 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/common.py:69(save_data_to_s3)
        1    0.000    0.000    0.126    0.126 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:556(_api_call)
        1    0.000    0.000    0.126    0.126 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:937(_make_api_call)
        3    0.000    0.000    0.125    0.042 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1087(_validate_conn)
        3    0.000    0.000    0.125    0.042 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:613(connect)
        1    0.000    0.000    0.124    0.124 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:1021(_make_request)
        1    0.000    0.000    0.124    0.124 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:113(make_request)
        1    0.000    0.000    0.124    0.124 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:192(_send_request)
        2    0.000    0.000    0.121    0.061 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:233(_get_response)
        2    0.000    0.000    0.121    0.061 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:261(_do_get_response)
        2    0.000    0.000    0.119    0.060 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:374(_send)
        2    0.000    0.000    0.119    0.060 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/httpsession.py:447(send)
        3    0.000    0.000    0.109    0.036 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:438(getresponse)
        3    0.000    0.000    0.109    0.036 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1384(getresponse)
        3    0.000    0.000    0.109    0.036 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:324(begin)
       56    0.000    0.000    0.108    0.002 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:694(readinto)
       56    0.000    0.000    0.108    0.002 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1237(recv_into)
       56    0.000    0.000    0.108    0.002 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1095(read)
       34    0.000    0.000    0.108    0.003 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.108    0.054 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:291(_read_status)
       56    0.108    0.002    0.108    0.002 {method 'read' of '_ssl._SSLSocket' objects}
        3    0.000    0.000    0.074    0.025 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:190(_new_conn)
        3    0.000    0.000    0.074    0.025 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
        3    0.000    0.000    0.053    0.018 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:947(getaddrinfo)
        3    0.052    0.017    0.052    0.017 {built-in method _socket.getaddrinfo}
        3    0.000    0.000    0.050    0.017 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:731(_ssl_wrap_socket_and_match_hostname)
        3    0.000    0.000    0.050    0.017 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:392(ssl_wrap_socket)
        3    0.000    0.000    0.042    0.014 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:322(request)
        2    0.000    0.000    0.042    0.021 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/awsrequest.py:87(request)
        3    0.000    0.000    0.041    0.014 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1320(endheaders)
        2    0.000    0.000    0.041    0.021 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/awsrequest.py:113(_send_output)
        2    0.000    0.000    0.041    0.020 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:113(wait_for_read)
        2    0.000    0.000    0.041    0.020 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:57(poll_wait_for_socket)
        2    0.000    0.000    0.041    0.020 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:74(do_poll)
        2    0.041    0.020    0.041    0.020 {method 'poll' of 'select.poll' objects}
        3    0.000    0.000    0.032    0.011 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:493(_ssl_wrap_socket_impl)
        3    0.000    0.000    0.032    0.011 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:449(wrap_socket)
        3    0.000    0.000    0.032    0.011 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:956(_create)
        3    0.000    0.000    0.032    0.011 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1313(do_handshake)
        3    0.032    0.011    0.032    0.011 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        3    0.021    0.007    0.021    0.007 {method 'connect' of '_socket.socket' objects}
        2    0.017    0.009    0.017    0.009 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.008    0.008 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/common.py:44(get_s3_client)
        1    0.000    0.000    0.007    0.007 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/__init__.py:86(client)
        1    0.000    0.000    0.007    0.007 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/session.py:215(client)
        1    0.000    0.000    0.007    0.007 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:832(create_client)
        1    0.000    0.000    0.007    0.007 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:115(create_client)
        1    0.000    0.000    0.006    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/util/_decorators.py:325(wrapper)
        1    0.000    0.000    0.006    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:1310(to_string)
        1    0.000    0.000    0.006    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:939(to_string)
        1    0.000    0.000    0.006    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:28(to_string)
        1    0.000    0.000    0.006    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:40(_get_string_representation)
        1    0.000    0.000    0.006    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:34(_get_strcols)
        1    0.000    0.000    0.006    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:472(get_strcols)
        1    0.000    0.000    0.005    0.005 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:704(_get_strcols_without_index)
        5    0.000    0.000    0.005    0.001 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:751(format_col)
        6    0.000    0.000    0.004    0.001 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1079(format_array)
        6    0.000    0.000    0.004    0.001 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1193(get_result)
        1    0.000    0.000    0.004    0.004 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:496(_get_client_args)
        1    0.000    0.000    0.004    0.004 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/args.py:86(get_client_args)
        1    0.000    0.000    0.003    0.003 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/common.py:37(save_data_locally)
        1    0.000    0.000    0.003    0.003 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:2909(to_feather)
        1    0.000    0.000    0.003    0.003 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/feather_format.py:38(to_feather)
  898/126    0.000    0.000    0.003    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/utils.py:1155(__get__)
       22    0.000    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1660(_log)
        5    0.000    0.000    0.003    0.001 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1197(_format_strings)
