,settlementDate,settlementPeriod,startTime,createdDateTime,systemSellPrice,systemBuyPrice,bsadDefaulted,priceDerivationCode,reserveScarcityPrice,netImbalanceVolume,sellPriceAdjustment,buyPriceAdjustment,replacementPrice,replacementPriceReferenceVolume,totalAcceptedOfferVolume,totalAcceptedBidVolume,totalAdjustmentSellVolume,totalAdjustmentBuyVolume,totalSystemTaggedAcceptedOfferVolume,totalSystemTaggedAcceptedBidVolume,totalSystemTaggedAdjustmentSellVolume,totalSystemTaggedAdjustmentBuyVolume
0,2024-08-13,33,2024-08-13T15:00:00Z,2024-08-13T15:48:32Z,65.03,65.03,False,N,0.0,-671.7083885528305,0.0,5.72,65.03,0.0,1553.5499449656882,-1938.5577425944618,-286.5,0.0,1553.5499449656882,-1937.984266968554,-286.07347562590775,
1,2024-08-13,32,2024-08-13T14:30:00Z,2024-08-13T15:18:35Z,95.72,95.72,False,P,0.0,49.6098142149542,0.0,5.72,,,1814.2268142149542,-1854.8500168209875,-221.5,311.833,1813.2268142149542,-1854.8500168209875,-221.5,311.833
2,2024-08-13,31,2024-08-13T14:00:00Z,2024-08-13T14:48:36Z,92.19,92.19,False,P,0.0,143.8807215608725,0.0,5.72,,,1802.7895132275391,-1713.7916666666667,-221.5,276.536,1801.7895132275391,-1713.7916666666667,-221.5,276.536
3,2024-08-13,30,2024-08-13T13:30:00Z,2024-08-13T14:18:31Z,84.0,84.0,False,P,0.0,132.9188689895105,0.0,0.0,,,1569.9784217672882,-1566.6412194821676,0.0,129.665,1568.9784217672882,-1566.6412194821676,,129.665
4,2024-08-13,29,2024-08-13T13:00:00Z,2024-08-13T13:48:33Z,0.0,0.0,False,N,0.0,-43.193725921717174,0.0,0.0,0.0,0.0,1385.9521074116162,-1429.075,0.0,100.24,1385.9521074116162,-1428.075,,
5,2024-08-13,28,2024-08-13T12:30:00Z,2024-08-13T13:18:28Z,0.0,0.0,False,N,0.0,-535.7544435425685,0.0,0.0,0.0,1.0,966.4145103463203,-1371.14633484127,-131.0,0.0,966.4145103463203,-1370.14633484127,-131.0,
6,2024-08-13,27,2024-08-13T12:00:00Z,2024-08-13T12:48:30Z,0.5,0.5,False,N,0.0,-410.1207208550947,0.0,0.0,0.5,1.0,936.4238029544291,-1215.6603804761905,-131.0,0.0,936.4238029544291,-1214.6603804761905,-131.0,
7,2024-08-13,26,2024-08-13T11:30:00Z,2024-08-13T12:18:31Z,0.5,0.5,False,N,0.0,-646.7613089745196,0.0,0.0,0.5,1.0,734.7858983390337,-1245.2805406411862,-136.5,0.0,734.7858983390337,-1244.2805406411862,-136.5,
8,2024-08-13,25,2024-08-13T11:00:00Z,2024-08-13T11:48:30Z,31.62,31.62,False,N,0.0,-541.1938883872708,0.0,0.0,31.62,1.0,768.0666667143208,-1173.1105550539373,-136.5,0.0,768.0666667143208,-1172.1105550539373,-136.5,
9,2024-08-13,24,2024-08-13T10:30:00Z,2024-08-13T11:18:21Z,1.0,1.0,False,N,0.0,-454.2067603968254,0.0,0.0,1.0,1.0,818.0853030952381,-1058.6862951587302,-213.5,0.0,818.0853030952381,-1057.6862951587302,-213.5,
