         756302 function calls (747487 primitive calls) in 1.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.109    1.109 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/extract_generation.py:146(execute)
        2    0.000    0.000    0.364    0.182 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:594(urlopen)
        2    0.000    0.000    0.363    0.182 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:379(_make_request)
        1    0.000    0.000    0.341    0.341 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/common.py:43(get_s3_client)
        1    0.000    0.000    0.341    0.341 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/__init__.py:86(client)
        1    0.000    0.000    0.331    0.331 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/session.py:215(client)
        1    0.000    0.000    0.331    0.331 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:832(create_client)
        1    0.001    0.001    0.321    0.321 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:115(create_client)
        1    0.000    0.000    0.253    0.253 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/common.py:68(save_data_to_s3)
        1    0.000    0.000    0.252    0.252 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:556(_api_call)
        1    0.000    0.000    0.252    0.252 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:937(_make_api_call)
       19    0.000    0.000    0.252    0.013 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1660(_log)
       19    0.000    0.000    0.251    0.013 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1686(handle)
       19    0.000    0.000    0.251    0.013 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1746(callHandlers)
       38    0.000    0.000    0.251    0.007 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1011(handle)
       38    0.000    0.000    0.251    0.007 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1148(emit)
       75    0.000    0.000    0.250    0.003 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1517(debug)
        1    0.000    0.000    0.250    0.250 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:1021(_make_request)
        1    0.000    0.000    0.250    0.250 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:113(make_request)
        1    0.000    0.000    0.250    0.250 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:192(_send_request)
       38    0.249    0.007    0.249    0.007 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.248    0.248 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:233(_get_response)
        1    0.000    0.000    0.248    0.248 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:261(_do_get_response)
        1    0.000    0.000    0.247    0.247 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/endpoint.py:374(_send)
        1    0.000    0.000    0.247    0.247 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/httpsession.py:447(send)
        2    0.000    0.000    0.200    0.100 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:438(getresponse)
        2    0.000    0.000    0.199    0.100 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1384(getresponse)
        2    0.000    0.000    0.199    0.100 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:324(begin)
       29    0.000    0.000    0.199    0.007 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:693(readinto)
       29    0.000    0.000    0.199    0.007 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1237(recv_into)
        2    0.000    0.000    0.199    0.099 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:291(_read_status)
       29    0.000    0.000    0.199    0.007 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1095(read)
       29    0.199    0.007    0.199    0.007 {method 'read' of '_ssl._SSLSocket' objects}
       27    0.000    0.000    0.199    0.007 {method 'readline' of '_io.BufferedReader' objects}
     16/6    0.000    0.000    0.169    0.028 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:137(_wrapper)
        2    0.000    0.000    0.155    0.077 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:375(load_service_model)
        1    0.001    0.001    0.145    0.145 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:195(_create_client_class)
        2    0.000    0.000    0.134    0.067 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1087(_validate_conn)
        2    0.000    0.000    0.134    0.067 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:613(connect)
     18/3    0.065    0.004    0.131    0.044 {built-in method builtins.__import__}
    13/11    0.000    0.000    0.128    0.012 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/hooks.py:205(_emit)
    11/10    0.000    0.000    0.128    0.013 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/hooks.py:410(emit)
    11/10    0.000    0.000    0.127    0.013 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/hooks.py:245(emit)
        1    0.001    0.001    0.126    0.126 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/utils.py:63(_handler)
        1    0.000    0.000    0.126    0.126 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/utils.py:50(import_module)
        1    0.000    0.000    0.123    0.123 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/extract_generation.py:60(fetch_data)
        1    0.000    0.000    0.121    0.121 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:62(get)
        1    0.000    0.000    0.121    0.121 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:14(request)
        1    0.000    0.000    0.121    0.121 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000    0.119    0.119 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:673(send)
        1    0.000    0.000    0.119    0.119 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/adapters.py:613(send)
