         229789 function calls (226476 primitive calls) in 2.140 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.140    2.140 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/extract_price.py:147(execute)
       26    0.001    0.000    2.018    0.078 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:594(urlopen)
       26    0.001    0.000    2.010    0.077 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:379(_make_request)
        1    0.001    0.001    1.956    1.956 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/extract_price.py:64(fetch_data)
       25    0.000    0.000    1.946    0.078 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:62(get)
       25    0.000    0.000    1.946    0.078 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/api.py:14(request)
       25    0.000    0.000    1.942    0.078 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:500(request)
       25    0.001    0.000    1.906    0.076 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:673(send)
       25    0.000    0.000    1.899    0.076 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/adapters.py:613(send)
       26    0.000    0.000    1.025    0.039 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1087(_validate_conn)
       26    0.001    0.000    1.025    0.039 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:613(connect)
       26    0.001    0.000    0.941    0.036 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:438(getresponse)
       26    0.000    0.000    0.935    0.036 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1384(getresponse)
       26    0.000    0.000    0.934    0.036 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:324(begin)
       26    0.000    0.000    0.923    0.035 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:291(_read_status)
      410    0.000    0.000    0.922    0.002 {method 'readline' of '_io.BufferedReader' objects}
       51    0.000    0.000    0.922    0.018 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:693(readinto)
       51    0.000    0.000    0.922    0.018 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1237(recv_into)
